"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "YAML", "Ini", "MS SQL", "XML", "PostCSS", "Java", "Java Properties", "Docker", "comment", "blank", "total"
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\invitations\accept\page.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\HomeShell.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 102
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\Providers.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 98
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\auth\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 149
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\DocumentUpload.tsx", "TypeScript JSX", 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 281
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\ProjectDashboard.tsx", "TypeScript JSX", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 159
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\ProjectDetail.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\ProjectMembers.tsx", "TypeScript JSX", 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 193
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\lib\api.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\lib\types.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 72
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\authSlice.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\hooks.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\projectSlice.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\store.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\BachKhoa\Kbase\FE\kbase-frontend\tailwind.config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\BachKhoa\Kbase\FE\kbase-frontend\tsconfig.json", "JSON with Comments", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
