"filename", "language", "TypeScript", "YAML", "TypeScript JSX", "MS SQL", "Java Properties", "Java", "Docker", "XML", "JSON", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\_next-internal_server_app_page_actions_09-gtaw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_09w7yel._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, -33
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_0.jrk~x._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -1, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_client_components_0inhx6q._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_client_components_builtin_forbidden_0ghu-f7.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_client_components_builtin_global-error_0lgvd_..js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_client_components_builtin_unauthorized_0cjv-23.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_esm_build_templates_app-page_0bj8dkg.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -1, -1, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_esm_build_templates_app-page_0cvrgh7.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -1, -1, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\node_modules_next_dist_esm_build_templates_app-page_0rc3ul_.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, -1, -1, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\src_0wle1nt._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\functions-config-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\interception-route-rewrite-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\middleware-build-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -1, -21
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\middleware-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\next-font-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\pages-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\pages\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\pages\500.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\prefetch-hints.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\server-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\server-reference-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\app-path-routes-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -5
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\standalone\.next\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -20
